BTCPrice$US,TargetFederalF,MiningDifficulty,M2lag_5months
7194,1.55,13.01,5838.1
9346,1.58,15.2,5865
9599,.65,16.6,5901
6437,.05,13,5922.7
8672,.05,16,5929
9463,.08,15.1,5948.6
9145,.09,15.8,5961.1
11322,.1,16.8,6190.4
11679,.09,17.4,6637
10795,.09,19.3,6984
13781,.09,20,7066.6
19633,.09,19.4,7086.2
28994,.09,20.6,7087.4
33114,.08,20.8,7157.8
45159,.07,21.7,7207.8
58926,.07,21.9,7272.2
57714,.06,23,7293.7
37293,.08,21.2,7365.1
35035,.1,15.6,7424.9
41480,.09,14.3,7477.9
47099,.08,17.2,7548.3
43816,.08,10.1,7613.8
61320,.08,21.7,7567.5
56907,.08,22.3,7586
46311,.08,24.3,7641.2
38481,.08,26.6,7657.8
43194,.2,27.9,7652.4
45554,.33,28.3,7649.8
37713,.77,29.8,7659.3
31792,1.21,30,7637
19820,1.68,29.6,7598.7
12226,2.33,28.2,7554.4
20050,2.56,31,7522.8
19431,3.08,28.2,7446.7
20494,3.78,36.8,7339.9
17168,4.1,35.4,7337.7
16547,4.33,34.2,7325.9
23137,4.57,37.6,7257.8
23150,4.65,42.8,7195.7
28473,4.83,46.8,7154.6
29227,5.06,48,7119.2
27128,5.08,49.6,7054.4
30471,5.12,50.7,7004
29230,5.33,52.3,6916.7
25934,5.33,54.3,6835
27967,5.33,57.2,6858
34657,5.33,62.2,6838.3
37718,5.33,76.1,6815.7
42280,5.33,72,6772
42569,5.33,75.5,6730.3
61166,5.33,79.04,6718.8
71333,5.33,83.5,6712.4
60609,5.33,85.2,6712.9
67489,5.33,84.4,6692.6
62673,5.33,83.7,6674.7
